Phone Number,cluster,Recommended_Plan_1,Plan_1_ID,Plan_1_Cluster,Plan_1_Price,Plan_1_Score,Plan_1_Coverage,Plan_1_Utilization,Plan_1_Price_Score,Plan_1_Cluster_Score,Plan_1_Overage_Penalty,Plan_1_Fully_Covered,Recommended_Plan_2,Plan_2_ID,Plan_2_Cluster,Plan_2_Price,Plan_2_Score,Plan_2_Coverage,Plan_2_Utilization,Plan_2_Price_Score,Plan_2_Cluster_Score,Plan_2_Overage_Penalty,Plan_2_Fully_Covered,Recommended_Plan_3,Plan_3_ID,Plan_3_Cluster,Plan_3_Price,Plan_3_Score,Plan_3_Coverage,Plan_3_Utilization,Plan_3_Price_Score,Plan_3_Cluster_Score,Plan_3_Overage_Penalty,Plan_3_Fully_Covered
327-1058,0,HH Select,C1-P6,0,54.2,0.8333,1.0,0.6,0.6133,1,0.4869,True,HH Advance,C1-P7,0,58.5,0.8173,1.0,0.5605,0.5682,1,0.5196,True,HH Starter,C1-P1,0,34.69,0.8132,0.9013,0.7848,0.9582,1,0.186,False
327-1319,0,HH Value,C1-P4,0,47.43,0.9067,1.0,0.7815,0.7008,1,0.1565,True,HH Plus,C1-P5,0,51.51,0.886,1.0,0.7315,0.6453,1,0.2048,True,HH Select,C1-P6,0,54.2,0.8736,1.0,0.7015,0.6133,1,0.2365,True
327-3053,1,MB Value,C2-P4,1,48.15,0.8664,1.0,0.6444,0.6903,1,0.3376,True,MB Plus,C2-P5,1,52.23,0.8464,1.0,0.5983,0.6364,1,0.388,True,MB Starter,C2-P1,1,33.24,0.8516,0.9407,0.8636,1.0,1,0.1015,False
327-3587,1,MB Standard,C2-P3,1,42.9,0.9035,1.0,0.7194,0.7748,1,0.2068,True,MB Value,C2-P4,1,48.15,0.8736,1.0,0.6539,0.6903,1,0.2801,True,MB Plus,C2-P5,1,52.23,0.8537,1.0,0.6143,0.6364,1,0.3386,True
327-3850,1,MB Starter,C2-P1,1,33.24,0.8257,0.7821,0.9575,1.0,1,0.0256,False,MB Basic,C2-P2,1,37.32,0.8312,0.8552,0.9575,0.8907,1,0.0256,False,MB Standard,C2-P3,1,42.9,0.8171,0.9267,0.8867,0.7748,1,0.1017,False
327-3954,0,HH Plus,C1-P5,0,51.51,0.9013,1.0,0.7971,0.6453,1,0.1507,True,HH Select,C1-P6,0,54.2,0.8883,1.0,0.7594,0.6133,1,0.1756,True,HH Advance,C1-P7,0,58.5,0.8711,1.0,0.7147,0.5682,1,0.2136,True
327-4795,0,HH Select,C1-P6,0,54.2,0.8953,1.0,0.8001,0.6133,1,0.1676,True,HH Advance,C1-P7,0,58.5,0.8776,1.0,0.7506,0.5682,1,0.202,True,HH Starter,C1-P1,0,34.69,0.8145,0.7789,0.94,0.9582,1,0.0395,False
327-5525,1,MB Value,C2-P4,1,48.15,0.9083,1.0,0.7932,0.6903,1,0.1426,True,MB Plus,C2-P5,1,52.23,0.888,1.0,0.7415,0.6364,1,0.1873,True,MB Starter,C2-P1,1,33.24,0.8537,0.8587,0.9808,1.0,1,0.0104,False
327-5817,0,HH Value,C1-P4,0,47.43,0.9239,1.0,0.8534,0.7008,1,0.0923,True,HH Plus,C1-P5,0,51.51,0.9029,1.0,0.7971,0.6453,1,0.1346,True,HH Select,C1-P6,0,54.2,0.8902,1.0,0.7632,0.6133,1,0.1623,True
327-6087,0,HH Value,C1-P4,0,47.43,0.8708,1.0,0.6374,0.7008,1,0.2996,True,HH Plus,C1-P5,0,51.51,0.8505,1.0,0.5984,0.6453,1,0.3604,True,HH Select,C1-P6,0,54.2,0.8382,1.0,0.5756,0.6133,1,0.4017,True
327-6179,1,MB Value,C2-P4,1,48.15,0.9118,1.0,0.8094,0.6903,1,0.1318,True,MB Plus,C2-P5,1,52.23,0.8913,1.0,0.7548,0.6364,1,0.1741,True,MB Starter,C2-P1,1,33.24,0.8556,0.8579,0.9911,1.0,1,0.0046,False
327-6194,0,HH Select,C1-P6,0,54.2,0.884,1.0,0.7522,0.6133,1,0.2079,True,HH Advance,C1-P7,0,58.5,0.8666,1.0,0.707,0.5682,1,0.2464,True,HH Starter,C1-P1,0,34.69,0.8313,0.8331,0.9425,0.9582,1,0.0373,False
327-6764,1,MB Value,C2-P4,1,48.15,0.9233,1.0,0.858,0.6903,1,0.0898,True,MB Plus,C2-P5,1,52.23,0.9025,1.0,0.7997,0.6364,1,0.1286,True,MB Starter,C2-P1,1,33.24,0.8426,0.8086,1.0,1.0,1,0.0,False
327-6989,0,HH Select,C1-P6,0,54.2,0.8748,1.0,0.7257,0.6133,1,0.2603,True,HH Advance,C1-P7,0,58.5,0.8571,1.0,0.6836,0.5682,1,0.3066,True,HH Starter,C1-P1,0,34.69,0.8316,0.8489,0.9242,0.9582,1,0.0544,False
327-8495,1,MB Starter,C2-P1,1,33.24,0.8009,0.6697,1.0,1.0,1,0.0,False,MB Basic,C2-P2,1,37.32,0.8022,0.7286,1.0,0.8907,1,0.0,False,MB Standard,C2-P3,1,42.9,0.7937,0.8081,0.9317,0.7748,1,0.047,False
327-8732,0,HH Advance,C1-P7,0,58.5,0.8791,1.0,0.7556,0.5682,1,0.1945,True,HH Starter,C1-P1,0,34.69,0.8185,0.7845,0.95,0.9582,1,0.0312,False,HH Basic,C1-P2,0,39.29,0.8264,0.8672,0.95,0.846,1,0.0312,False
327-9289,1,MB Starter,C2-P1,1,33.24,0.8474,0.8248,1.0,1.0,1,0.0,False,MB Basic,C2-P2,1,37.32,0.8445,0.8836,0.9798,0.8907,1,0.011,False,MB Standard,C2-P3,1,42.9,0.8248,0.9473,0.8799,0.7748,1,0.0764,False
